Entity,Code,Year,Annual CO2 emissions
Brazil,BRA,1961,49136050
Brazil,BRA,1962,53613250
Brazil,BRA,1963,55523040
Brazil,BRA,1964,56626316
Brazil,BRA,1965,56279224
Brazil,BRA,1966,64162424
Brazil,BRA,1967,66032556
Brazil,BRA,1968,77224150
Brazil,BRA,1969,84088420
Brazil,BRA,1970,93488200
Brazil,BRA,1971,102337050
Brazil,BRA,1972,114018824
Brazil,BRA,1973,132060776
Brazil,BRA,1974,143015700
Brazil,BRA,1975,150326580
Brazil,BRA,1976,154606980
Brazil,BRA,1977,162363360
Brazil,BRA,1978,177117180
Brazil,BRA,1979,187787150
Brazil,BRA,1980,186190690
Brazil,BRA,1981,171324430
Brazil,BRA,1982,171499700
Brazil,BRA,1983,165899790
Brazil,BRA,1984,167567460
Brazil,BRA,1985,180110740
Brazil,BRA,1986,197238400
Brazil,BRA,1987,205967680
Brazil,BRA,1988,207695260
Brazil,BRA,1989,212071060
Brazil,BRA,1990,218658000
Brazil,BRA,1991,229394000
Brazil,BRA,1992,233601000
Brazil,BRA,1993,244306000
Brazil,BRA,1994,254002000
Brazil,BRA,1995,268678000
Brazil,BRA,1996,289311000
Brazil,BRA,1997,306949000
Brazil,BRA,1998,317359000
Brazil,BRA,1999,327256000
Brazil,BRA,2000,340183000
Brazil,BRA,2001,346165980
Brazil,BRA,2002,347765020
Brazil,BRA,2003,344645000
Brazil,BRA,2004,361434000
Brazil,BRA,2005,364371000
Brazil,BRA,2006,368871000
Brazil,BRA,2007,390573000
Brazil,BRA,2008,412638000
Brazil,BRA,2009,389775000
Brazil,BRA,2010,440269020
Brazil,BRA,2011,462580000
Brazil,BRA,2012,498309000
Brazil,BRA,2013,532418020
Brazil,BRA,2014,557901000
Brazil,BRA,2015,529353020
Brazil,BRA,2016,492748000
Brazil,BRA,2017,498266430
Brazil,BRA,2018,478379100
Brazil,BRA,2019,473389800
Brazil,BRA,2020,445208100
Brazil,BRA,2021,498016860
Brazil,BRA,2022,483840580
Brazil,BRA,2023,486470080
China,CHN,1961,570630200
China,CHN,1962,459618080
China,CHN,1963,456779460
China,CHN,1964,460637100
China,CHN,1965,500286370
China,CHN,1966,549459260
China,CHN,1967,460225900
China,CHN,1968,495506560
China,CHN,1969,607683300
China,CHN,1970,807952640
China,CHN,1971,909209700
China,CHN,1972,968645570
China,CHN,1973,1008292600
China,CHN,1974,1028099840
China,CHN,1975,1183215000
China,CHN,1976,1226421200
China,CHN,1977,1340831100
China,CHN,1978,1492777900
China,CHN,1979,1525661200
China,CHN,1980,1494495900
China,CHN,1981,1476487800
China,CHN,1982,1606585000
China,CHN,1983,1694216800
China,CHN,1984,1844828000
China,CHN,1985,1998083000
China,CHN,1986,2104213400
China,CHN,1987,2257738500
China,CHN,1988,2425893600
China,CHN,1989,2463654400
China,CHN,1990,2484854800
China,CHN,1991,2606096100
China,CHN,1992,2730787600
China,CHN,1993,2921651000
China,CHN,1994,3103739000
China,CHN,1995,3361637000
China,CHN,1996,3508818200
China,CHN,1997,3515594200
China,CHN,1998,3364587500
China,CHN,1999,3557274600
China,CHN,2000,3649226500
China,CHN,2001,3728509700
China,CHN,2002,4103046400
China,CHN,2003,4841118700
China,CHN,2004,5217351000
China,CHN,2005,5882106400
China,CHN,2006,6494330400
China,CHN,2007,6983547400
China,CHN,2008,7501497300
China,CHN,2009,7891078000
China,CHN,2010,8620576000
China,CHN,2011,9532332000
China,CHN,2012,9779292000
China,CHN,2013,9956329000
China,CHN,2014,9990257000
China,CHN,2015,9863457000
China,CHN,2016,9762714000
China,CHN,2017,10006343000
China,CHN,2018,10332993000
China,CHN,2019,10713984000
China,CHN,2020,10905693000
China,CHN,2021,11447913000
China,CHN,2022,11350538000
China,CHN,2023,11902503000
France,FRA,1961,316220030
France,FRA,1962,333476860
France,FRA,1963,338581920
France,FRA,1964,369539680
France,FRA,1965,364230370
France,FRA,1966,381139070
France,FRA,1967,405496130
France,FRA,1968,419073380
France,FRA,1969,444280100
France,FRA,1970,461337700
France,FRA,1971,494426700
France,FRA,1972,514987840
France,FRA,1973,539771650
France,FRA,1974,521906370
France,FRA,1975,483271550
France,FRA,1976,524454600
France,FRA,1977,508118880
France,FRA,1978,529908450
France,FRA,1979,533254000
France,FRA,1980,512217540
France,FRA,1981,460490660
France,FRA,1982,441564160
France,FRA,1983,424455070
France,FRA,1984,413169020
France,FRA,1985,406314270
France,FRA,1986,391447740
France,FRA,1987,388851620
France,FRA,1988,386506080
France,FRA,1989,400328700
France,FRA,1990,393717280
France,FRA,1991,417859100
France,FRA,1992,407315940
France,FRA,1993,387699200
France,FRA,1994,380793060
France,FRA,1995,385809900
France,FRA,1996,402156450
France,FRA,1997,394845060
France,FRA,1998,413258600
France,FRA,1999,412020800
France,FRA,2000,406139200
France,FRA,2001,410445440
France,FRA,2002,405946530
France,FRA,2003,411964860
France,FRA,2004,413379500
France,FRA,2005,415795070
France,FRA,2006,406156960
France,FRA,2007,396010340
France,FRA,2008,389093760
France,FRA,2009,370875840
France,FRA,2010,376457200
France,FRA,2011,354374800
France,FRA,2012,356439460
France,FRA,2013,358702820
France,FRA,2014,326842370
France,FRA,2015,331490200
France,FRA,2016,334199870
France,FRA,2017,337101440
France,FRA,2018,321939700
France,FRA,2019,315015330
France,FRA,2020,280490020
France,FRA,2021,305607230
France,FRA,2022,293501630
France,FRA,2023,272475840
Germany,DEU,1961,834839600
Germany,DEU,1962,883168600
Germany,DEU,1963,945498000
Germany,DEU,1964,968917500
Germany,DEU,1965,960102200
Germany,DEU,1966,951422000
Germany,DEU,1967,936229440
Germany,DEU,1968,984790850
Germany,DEU,1969,1052000830
Germany,DEU,1970,1026022340
Germany,DEU,1971,1037236800
Germany,DEU,1972,1041480960
Germany,DEU,1973,1085738400
Germany,DEU,1974,1062726900
Germany,DEU,1975,1002447000
Germany,DEU,1976,1090840400
Germany,DEU,1977,1052608500
Germany,DEU,1978,1079132500
Germany,DEU,1979,1117888300
Germany,DEU,1980,1100066000
Germany,DEU,1981,1048523300
Germany,DEU,1982,1015733900
Germany,DEU,1983,1011604900
Germany,DEU,1984,1033244600
Germany,DEU,1985,1044117900
Germany,DEU,1986,1047471940
Germany,DEU,1987,1032442900
Germany,DEU,1988,1029024200
Germany,DEU,1989,1008792400
Germany,DEU,1990,1054795900
Germany,DEU,1991,1016929540
Germany,DEU,1992,969464400
Germany,DEU,1993,959385900
Germany,DEU,1994,943227650
Germany,DEU,1995,939933600
Germany,DEU,1996,959690100
Germany,DEU,1997,931508100
Germany,DEU,1998,923498700
Germany,DEU,1999,895442050
Germany,DEU,2000,898975740
Germany,DEU,2001,915254800
Germany,DEU,2002,898834300
Germany,DEU,2003,894501060
Germany,DEU,2004,876569860
Germany,DEU,2005,867880600
Germany,DEU,2006,886434300
Germany,DEU,2007,846116160
Germany,DEU,2008,856607400
Germany,DEU,2009,789950700
Germany,DEU,2010,826679940
Germany,DEU,2011,804513800
Germany,DEU,2012,814090240
Germany,DEU,2013,831742850
Germany,DEU,2014,792578750
Germany,DEU,2015,800844500
Germany,DEU,2016,798013630
Germany,DEU,2017,784593860
Germany,DEU,2018,760046340
Germany,DEU,2019,709826700
Germany,DEU,2020,648356860
Germany,DEU,2021,678777300
Germany,DEU,2022,671471550
Germany,DEU,2023,596151360
India,IND,1961,120404270
India,IND,1962,132581544
India,IND,1963,142444140
India,IND,1964,139488270
India,IND,1965,153701940
India,IND,1966,159373390
India,IND,1967,159555820
India,IND,1968,174069330
India,IND,1969,177413360
India,IND,1970,181722640
India,IND,1971,191963680
India,IND,1972,203035980
India,IND,1973,209095040
India,IND,1974,215853180
India,IND,1975,234209120
India,IND,1976,244749380
India,IND,1977,258961730
India,IND,1978,263149570
India,IND,1979,276284740
India,IND,1980,291711100
India,IND,1981,314966180
India,IND,1982,325380000
India,IND,1983,352198850
India,IND,1984,361559460
India,IND,1985,397592100
India,IND,1986,426309380
India,IND,1987,455343040
India,IND,1988,491692160
India,IND,1989,540651100
India,IND,1990,577996000
India,IND,1991,615365000
India,IND,1992,655447040
India,IND,1993,677299260
India,IND,1994,714063740
India,IND,1995,760461630
India,IND,1996,823620700
India,IND,1997,858011200
India,IND,1998,875772350
India,IND,1999,960762940
India,IND,2000,986444700
India,IND,2001,1000526700
India,IND,2002,1032139800
India,IND,2003,1067736960
India,IND,2004,1133827600
India,IND,2005,1194592400
India,IND,2006,1292484600
India,IND,2007,1392506000
India,IND,2008,1489437400
India,IND,2009,1612216300
India,IND,2010,1677337200
India,IND,2011,1764712400
India,IND,2012,1925699700
India,IND,2013,1995098100
India,IND,2014,2148343800
India,IND,2015,2234219500
India,IND,2016,2354658000
India,IND,2017,2426606800
India,IND,2018,2593057800
India,IND,2019,2612888000
India,IND,2020,2421552000
India,IND,2021,2674221800
India,IND,2022,2831166200
India,IND,2023,3062324500
United Kingdom,GBR,1961,588614800
United Kingdom,GBR,1962,592931500
United Kingdom,GBR,1963,603385660
United Kingdom,GBR,1964,607866000
United Kingdom,GBR,1965,622111600
United Kingdom,GBR,1966,618074600
United Kingdom,GBR,1967,592057000
United Kingdom,GBR,1968,606488260
United Kingdom,GBR,1969,628382600
United Kingdom,GBR,1970,652577400
United Kingdom,GBR,1971,660388200
United Kingdom,GBR,1972,648026300
United Kingdom,GBR,1973,659577100
United Kingdom,GBR,1974,617183600
United Kingdom,GBR,1975,603247040
United Kingdom,GBR,1976,598526000
United Kingdom,GBR,1977,604361700
United Kingdom,GBR,1978,604713500
United Kingdom,GBR,1979,644512800
United Kingdom,GBR,1980,579035400
United Kingdom,GBR,1981,560554500
United Kingdom,GBR,1982,548240400
United Kingdom,GBR,1983,545485100
United Kingdom,GBR,1984,529108160
United Kingdom,GBR,1985,559627300
United Kingdom,GBR,1986,568554000
United Kingdom,GBR,1987,571667600
United Kingdom,GBR,1988,570293760
United Kingdom,GBR,1989,581576100
United Kingdom,GBR,1990,601945100
United Kingdom,GBR,1991,609412700
United Kingdom,GBR,1992,593845950
United Kingdom,GBR,1993,579612540
United Kingdom,GBR,1994,574016900
United Kingdom,GBR,1995,566158900
United Kingdom,GBR,1996,586760700
United Kingdom,GBR,1997,562708160
United Kingdom,GBR,1998,568543700
United Kingdom,GBR,1999,561649600
United Kingdom,GBR,2000,569033660
United Kingdom,GBR,2001,577970560
United Kingdom,GBR,2002,560273200
United Kingdom,GBR,2003,571618750
United Kingdom,GBR,2004,573429760
United Kingdom,GBR,2005,570338370
United Kingdom,GBR,2006,567845600
United Kingdom,GBR,2007,559566460
United Kingdom,GBR,2008,544932400
United Kingdom,GBR,2009,494107700
United Kingdom,GBR,2010,511904580
United Kingdom,GBR,2011,469713300
United Kingdom,GBR,2012,487476770
United Kingdom,GBR,2013,477611260
United Kingdom,GBR,2014,438807070
United Kingdom,GBR,2015,422460800
United Kingdom,GBR,2016,399430140
United Kingdom,GBR,2017,387367140
United Kingdom,GBR,2018,379729760
United Kingdom,GBR,2019,364753280
United Kingdom,GBR,2020,326263200
United Kingdom,GBR,2021,344510080
United Kingdom,GBR,2022,313834780
United Kingdom,GBR,2023,305146340
United States,USA,1961,2886872800
United States,USA,1962,2993902000
United States,USA,1963,3126487600
United States,USA,1964,3264313600
United States,USA,1965,3399547000
United States,USA,1966,3571421400
United States,USA,1967,3705461000
United States,USA,1968,3840919600
United States,USA,1969,4035145200
United States,USA,1970,4339686000
United States,USA,1971,4365465000
United States,USA,1972,4573015000
United States,USA,1973,4785434000
United States,USA,1974,4621419000
United States,USA,1975,4478563000
United States,USA,1976,4748111400
United States,USA,1977,4889953300
United States,USA,1978,4941708300
United States,USA,1979,5008955400
United States,USA,1980,4808877600
United States,USA,1981,4686743000
United States,USA,1982,4447602000
United States,USA,1983,4429711000
United States,USA,1984,4662488000
United States,USA,1985,4652938000
United States,USA,1986,4663711000
United States,USA,1987,4826012700
United States,USA,1988,5050858500
United States,USA,1989,5132543500
United States,USA,1990,5120957000
United States,USA,1991,5062956500
United States,USA,1992,5174227500
United States,USA,1993,5272850400
United States,USA,1994,5364279300
United States,USA,1995,5425259500
United States,USA,1996,5612983000
United States,USA,1997,5688142300
United States,USA,1998,5733281000
United States,USA,1999,5803918000
United States,USA,2000,6010135600
United States,USA,2001,5907739600
United States,USA,2002,5946308000
United States,USA,2003,6010145300
United States,USA,2004,6112655000
United States,USA,2005,6132183000
United States,USA,2006,6052686000
United States,USA,2007,6130123000
United States,USA,2008,5915118600
United States,USA,2009,5480725500
United States,USA,2010,5679715300
United States,USA,2011,5546116000
United States,USA,2012,5344086000
United States,USA,2013,5480156700
United States,USA,2014,5528681000
United States,USA,2015,5376473000
United States,USA,2016,5252932000
United States,USA,2017,5212162000
United States,USA,2018,5377797000
United States,USA,2019,5262145000
United States,USA,2020,4714628000
United States,USA,2021,5032213000
United States,USA,2022,5078871000
United States,USA,2023,4911391000
